series,mae_challenger,mape_challenger
Seasonal+Trend,1.7638142806274313,0.35781415680315287
Linear Trend,2.179850828964786,0.7351559096874332
Quadratic,1.5417979795740469,0.06516765518109373
Logistic (S-curve),2.5011098676091557,2.512983270479555
Random Walk (drift),0.7155406389353564,0.22344614495350398
Piecewise (changepoints),1.9215938313952055,1.1994159514657508
Spiky Intermittent,1.6740177059893468,8.75995680806506
Multi-seasonal,1.4614552245333263,60.08414062379156
Sunspots,9.075351054039492,34.024948653295375
CO2,0.2515698395607515,0.0681133092064145
CPIAUCSL,0.43716615028765204,0.13858352887335365
UNRATE,0.11596047025674971,2.9045142425691783
INDPRO,0.4610544577619133,0.4592575935138234
